units1,units2,input_dim,mae
12,12,24,3.164112374691667
12,12,48,3.354546121867967
12,12,96,3.2767750323004967
12,12,144,3.24740230152155
12,12,192,3.28232235890327
12,12,288,3.395635207087525
12,12,672,3.204860439313627
24,24,24,2.9446099496562623
24,24,48,3.274855431633805
24,24,96,3.099124640041863
24,24,144,3.2312304013021182
24,24,192,3.200373223662858
24,24,288,3.2892905698079504
24,24,672,3.1132151971410273
48,48,24,3.217455889035413
48,48,48,2.831183224218319
48,48,96,3.3003794154797843
48,48,144,2.9561460506687744
48,48,192,3.276811090771165
48,48,288,3.5183933704868555
48,48,672,3.151163929915572
96,96,24,2.9018049356462963
96,96,48,3.3985621747645136
96,96,96,3.223134206228209
96,96,144,3.1874315675976974
96,96,192,3.267134527114291
96,96,288,3.4465930481651985
96,96,672,2.8588583436961645
128,128,24,2.9585095300558675
128,128,48,2.808915597225152
128,128,96,3.0139342027109675
128,128,144,2.921632497510824
128,128,192,2.7513221132800756
128,128,288,2.8753832114523705
128,128,672,3.0434898540565816
256,256,24,3.127314543715502
256,256,48,3.2129658472661298
256,256,96,2.854415845878592
256,256,144,2.9951682173846135
256,256,192,3.1868642668582554
256,256,288,2.844453805339402
256,256,672,3.1856471245783298
