times_utc,out1(t+0),out1(t+1),out1(t+2),out1(t+3)
2023-08-28 09:00:00,36.565956,37.164974,37.551617,37.3561
2023-08-28 09:15:00,37.047714,37.571667,37.902935,37.734455
2023-08-28 09:30:00,36.85016,37.257877,37.521713,37.40501
2023-08-28 09:45:00,37.5333,37.636894,37.719376,37.5729
2023-08-28 10:00:00,37.602737,37.53761,37.51456,37.368988
2023-08-28 10:15:00,37.400608,37.23972,37.149,37.008522
2023-08-28 10:30:00,37.09916,36.90296,36.77479,36.63581
2023-08-28 10:45:00,36.79013,36.590427,36.444923,36.298515
2023-08-28 11:00:00,35.318436,35.107067,34.98032,34.828438
2023-08-28 11:15:00,34.816658,34.64165,34.535576,34.369125
2023-08-28 11:30:00,35.6838,35.56009,35.48205,35.312073
2023-08-28 11:45:00,35.98231,35.83267,35.802723,35.642967
2023-08-28 12:00:00,36.132748,35.97544,36.016743,35.88441
2023-08-28 12:15:00,35.072475,34.901512,35.04887,34.963737
2023-08-28 12:30:00,35.117573,35.021423,35.270283,35.237396
2023-08-28 12:45:00,34.816658,34.7215,35.04411,35.044838
2023-08-28 13:00:00,35.23577,35.157494,35.523144,35.538597
2023-08-28 13:15:00,35.325485,35.213917,35.593853,35.605503
2023-08-28 13:30:00,35.315636,35.18667,35.562675,35.55493
2023-08-28 13:45:00,35.290897,35.17417,35.537823,35.503685
2023-08-28 14:00:00,35.504284,35.44263,35.79085,35.727974
2023-08-28 14:15:00,35.586594,35.605217,35.930904,35.830624
2023-08-28 14:30:00,35.527298,35.65593,35.947468,35.79211
2023-08-28 14:45:00,35.595917,35.85706,36.094093,35.857124
2023-08-28 15:00:00,35.701023,36.079655,36.2242,35.86586
2023-08-28 15:15:00,36.399532,36.838043,36.80243,36.240868
2023-08-28 15:30:00,37.253338,37.607662,37.2591,36.38975
2023-08-28 15:45:00,35.15393,35.268494,34.58399,33.376427
2023-08-28 16:00:00,37.41424,37.091682,35.843174,34.12487
2023-08-28 16:15:00,36.17151,35.32085,33.507736,31.278902
2023-08-28 16:30:00,37.028873,35.46342,33.042652,30.319307
2023-08-28 16:45:00,38.889538,36.455997,33.404346,30.253992
2023-08-28 17:00:00,38.11241,35.012856,31.471912,27.948225
2023-08-28 17:15:00,39.534637,35.4963,31.512186,27.752747
2023-08-28 17:30:00,36.42157,32.114662,27.958776,24.02508
2023-08-28 17:45:00,37.182426,32.162724,27.900408,23.973186
2023-08-28 18:00:00,37.039894,31.681335,27.441956,23.58456
2023-08-28 18:15:00,25.04919,20.855635,17.162626,13.676792
2023-08-28 18:30:00,21.406742,17.489271,14.354413,11.384323
2023-08-28 18:45:00,15.527639,12.542673,10.147685,7.872336
2023-08-28 19:00:00,11.645816,9.4286785,7.6459947,5.9048233
2023-08-28 19:15:00,9.080733,7.426721,6.0668674,4.6962733
2023-08-28 19:30:00,6.9936714,5.775491,4.741583,3.6739352
2023-08-28 19:45:00,5.674994,4.6988115,3.8724072,3.0137675
2023-08-28 20:00:00,3.9756393,3.3175611,2.737501,2.120905
2023-08-28 20:15:00,3.539951,2.9169123,2.411319,1.8887752
2023-08-28 20:30:00,3.3264952,2.6999605,2.2339013,1.770305
2023-08-28 20:45:00,3.193766,2.5589187,2.11928,1.6983892
2023-08-28 21:00:00,2.5928411,2.052114,1.6896849,1.3516
2023-08-28 21:15:00,1.7968899,1.3989191,1.1379055,0.8999563
2023-08-28 21:30:00,1.5807687,1.240682,1.0201197,0.8243162
2023-08-28 21:45:00,1.5070189,1.2081995,1.0126799,0.8433967
2023-08-28 22:00:00,1.4782852,1.2173293,1.0412053,0.8923669
2023-08-28 22:15:00,1.4658294,1.2426265,1.0832504,0.95181376
2023-08-28 22:30:00,1.458939,1.271969,1.1260592,1.0084329
2023-08-28 22:45:00,1.4523445,1.2986159,1.1626625,1.0550151
2023-08-28 23:00:00,1.4433252,1.3170373,1.1860455,1.0830715
2023-08-28 23:15:00,1.4303085,1.3238682,1.192372,1.088429
2023-08-28 23:30:00,1.4121026,1.3164543,1.1787512,1.0680711
2023-08-28 23:45:00,1.3873556,1.2934021,1.1449528,1.0231025
2023-08-29 00:00:00,1.3552798,1.2564768,1.0962312,0.9621787
2023-08-29 00:15:00,1.3169711,1.2110958,1.0422544,0.8987417
2023-08-29 00:30:00,1.2744912,1.1602802,0.98664576,0.8369095
2023-08-29 00:45:00,1.2305073,1.1067159,0.9315412,0.7783459
2023-08-29 01:00:00,1.1880938,1.0540333,0.88025117,0.7260204
2023-08-29 01:15:00,1.1503587,1.0064707,0.83699137,0.6839389
2023-08-29 01:30:00,1.1200742,0.96765006,0.8050048,0.65481234
2023-08-29 01:45:00,1.0993426,0.9404369,0.7867494,0.64056855
2023-08-29 02:00:00,-0.16212647,-0.37291592,-0.4664219,-0.501533
2023-08-29 02:15:00,-0.43859395,-0.61100006,-0.6643884,-0.6661852
2023-08-29 02:30:00,-0.4786568,-0.61823183,-0.6482681,-0.6404296
2023-08-29 02:45:00,-0.45051414,-0.5690051,-0.5837672,-0.57298607
2023-08-29 03:00:00,-0.4078382,-0.514588,-0.51774883,-0.5051558
2023-08-29 03:15:00,-0.3642547,-0.4651191,-0.4583742,-0.44374385
2023-08-29 03:30:00,-0.3222107,-0.41999283,-0.40373474,-0.38638163
2023-08-29 03:45:00,-0.2815207,-0.3765956,-0.3501136,-0.328939
