times_utc,out1(t+0),out1(t+1),out1(t+2),out1(t+3)
2023-10-01 07:00:00,0.30628008,0.2612882,0.14139526,0.1378553
2023-10-01 07:15:00,0.31284177,0.2598372,0.121144116,0.08730871
2023-10-01 07:30:00,0.31442976,0.24657029,0.081711434,0.014940817
2023-10-01 07:45:00,0.31443968,0.23058824,0.041193742,-0.04974814
2023-10-01 08:00:00,0.31714877,0.22362204,0.021557042,-0.07632207
2023-10-01 08:15:00,0.3217723,0.22358535,0.019685335,-0.06911855
2023-10-01 08:30:00,0.32824585,0.23007776,0.034234628,-0.032891035
2023-10-01 08:45:00,0.3349399,0.23917325,0.05768364,0.018844731
2023-10-01 09:00:00,0.34079072,0.2487857,0.08612441,0.07936268
2023-10-01 09:15:00,0.3454568,0.25837445,0.117347606,0.14270602
2023-10-01 09:30:00,0.34921682,0.26863274,0.15083647,0.20569067
2023-10-01 09:45:00,0.3523693,0.28017223,0.18618204,0.266482
2023-10-01 10:00:00,0.35544375,0.29453346,0.22553468,0.3279506
2023-10-01 10:15:00,0.35765046,0.3091545,0.26347968,0.38280195
2023-10-01 10:30:00,0.35819742,0.32227346,0.2973169,0.42860746
2023-10-01 10:45:00,0.35639176,0.33247828,0.32522896,0.46419644
2023-10-01 11:00:00,0.35145757,0.33859697,0.34621897,0.4894529
2023-10-01 11:15:00,0.3438763,0.3427771,0.36447135,0.50992393
2023-10-01 11:30:00,0.3342284,0.34560737,0.38034862,0.52612406
2023-10-01 11:45:00,0.3235228,0.34884983,0.39618355,0.5408081
2023-10-01 12:00:00,0.31281644,0.35408193,0.41385168,0.5561248
2023-10-01 12:15:00,0.30320096,0.36250114,0.43454278,0.57365274
2023-10-01 12:30:00,0.29605845,0.3765114,0.4613232,0.5967106
2023-10-01 12:45:00,0.29127562,0.39441258,0.4913698,0.62260056
2023-10-01 13:00:00,0.28878623,0.41581377,0.524136,0.6506079
2023-10-01 13:15:00,0.28593612,0.4336292,0.5503364,0.6719825
2023-10-01 13:30:00,0.28308398,0.45044702,0.57418364,0.69055086
2023-10-01 13:45:00,0.27890727,0.46320993,0.5919839,0.70279515
2023-10-01 14:00:00,0.27322772,0.47212422,0.6044147,0.709353
2023-10-01 14:15:00,0.26675293,0.47894514,0.6138711,0.7124903
2023-10-01 14:30:00,0.25882554,0.48102355,0.6170319,0.7096207
2023-10-01 14:45:00,0.25196856,0.48432133,0.6213905,0.7076905
2023-10-01 15:00:00,0.24425438,0.4821049,0.6182972,0.69926614
2023-10-01 15:15:00,0.23737328,0.47861928,0.6132461,0.68962795
2023-10-01 15:30:00,0.2312493,0.47273666,0.60479164,0.6777237
2023-10-01 15:45:00,0.22545241,0.46277055,0.5908884,0.6619751
2023-10-01 16:00:00,0.2206483,0.4505218,0.573778,0.6443072
2023-10-01 16:15:00,0.21676546,0.43534225,0.5524151,0.6236313
2023-10-01 16:30:00,0.21430728,0.4178711,0.5272099,0.6000984
2023-10-01 16:45:00,0.2128571,0.39558572,0.49449795,0.5706488
2023-10-01 17:00:00,1.4377344,1.6451244,1.6110228,1.5293914
2023-10-01 17:15:00,1.5013618,1.6430303,1.5814066,1.4941344
2023-10-01 17:30:00,1.5947024,1.7021428,1.6142576,1.513854
2023-10-01 17:45:00,1.663741,1.7462655,1.634302,1.521994
2023-10-01 18:00:00,1.7023003,1.7671392,1.6360428,1.5141602
2023-10-01 18:15:00,1.7109065,1.7611423,1.61472,1.4859817
2023-10-01 18:30:00,1.6934719,1.7325273,1.5754495,1.4428289
2023-10-01 18:45:00,1.6590577,1.6916425,1.5288785,1.3949174
2023-10-01 19:00:00,1.6194856,1.651106,1.4868938,1.3530517
2023-10-01 19:15:00,1.582137,1.6198614,1.4611145,1.3303246
2023-10-01 19:30:00,1.5558504,1.6048403,1.4560763,1.3300272
2023-10-01 19:45:00,0.2170883,0.11356934,0.0332246,0.08952128
2023-10-01 20:00:00,0.15900016,0.14604615,0.10015815,0.1591718
2023-10-01 20:15:00,0.11837709,0.15879628,0.13837816,0.20360577
2023-10-01 20:30:00,0.111221805,0.1819851,0.18149528,0.25480106
2023-10-01 20:45:00,0.13458814,0.22042114,0.23470291,0.31592372
2023-10-01 21:00:00,0.1768146,0.26846212,0.29465547,0.384258
2023-10-01 21:15:00,0.22768584,0.31919962,0.35451946,0.45228893
2023-10-01 21:30:00,0.27754098,0.3634433,0.403244,0.50698483
2023-10-01 21:45:00,0.31971517,0.3950566,0.4331783,0.53867555
2023-10-01 22:00:00,0.35106766,0.41311118,0.44411835,0.54674786
2023-10-01 22:15:00,0.36882353,0.4164047,0.43677196,0.53309125
2023-10-01 22:30:00,0.37280244,0.40706503,0.4161903,0.5049662
2023-10-01 22:45:00,0.3646124,0.38845515,0.3879998,0.46987742
2023-10-01 23:00:00,0.347398,0.3646501,0.3573955,0.4340631
2023-10-01 23:15:00,0.32520708,0.33969697,0.32838285,0.40170118
2023-10-01 23:30:00,0.3021216,0.31681317,0.30333957,0.37472215
2023-10-01 23:45:00,0.28182852,0.29857355,0.2838806,0.35415772
2023-10-02 00:00:00,0.2670093,0.2865242,0.2707071,0.34014058
2023-10-02 00:15:00,0.25905475,0.2811784,0.2638011,0.33228981
2023-10-02 00:30:00,0.25845915,0.28263205,0.26287335,0.3299978
2023-10-02 00:45:00,0.26460442,0.29016265,0.267064,0.33224076
2023-10-02 01:00:00,0.27587438,0.30207884,0.27453038,0.3370084
2023-10-02 01:15:00,0.28996444,0.31593528,0.28270054,0.3415847
2023-10-02 01:30:00,0.30436784,0.32894197,0.2885479,0.34276617
2023-10-02 01:45:00,0.3171516,0.33931702,0.29046622,0.33898607
2023-10-02 02:00:00,0.32728103,0.3466186,0.2885718,0.33055347
2023-10-02 02:15:00,0.3343451,0.3510482,0.28369638,0.3184733
2023-10-02 02:30:00,0.33852586,0.35344803,0.2774814,0.30466896
2023-10-02 02:45:00,0.3405629,0.3553718,0.27262744,0.2924587
2023-10-02 03:00:00,0.3418044,0.35932335,0.2733785,0.2874017
2023-10-02 03:15:00,0.34374234,0.36804554,0.2847514,0.2968423
2023-10-02 03:30:00,0.34793323,0.38445702,0.3125001,0.33019942
2023-10-02 03:45:00,0.35616317,0.41219357,0.36398053,0.4003418
2023-10-02 04:00:00,0.370203,0.45525092,0.44774768,0.5234468
2023-10-02 04:15:00,0.39097193,0.51607424,0.5702889,0.7145754
2023-10-02 04:30:00,0.41841218,0.5950543,0.7345345,0.98443055
2023-10-02 04:45:00,0.45129186,0.6895218,0.9369152,1.3326169
2023-10-02 05:00:00,0.48713923,0.7931311,1.1652241,1.7416588
2023-10-02 05:15:00,0.52286863,0.89737374,1.4011307,2.179368
2023-10-02 05:30:00,0.5550678,0.99248016,1.622433,2.6030378
2023-10-02 05:45:00,0.58091927,1.0699192,1.8083711,2.9695225
2023-10-02 06:00:00,0.5991295,1.1249009,1.9450223,3.2460492
2023-10-02 06:15:00,0.60991,1.1565077,2.0264883,3.4144788
2023-10-02 06:30:00,0.61381173,1.1647843,2.0497541,3.4639378
2023-10-02 06:45:00,1.5266677,2.4980884,3.9117432,5.967004
2023-10-02 07:00:00,3.1467533,4.8553357,7.2429166,10.375604
2023-10-02 07:15:00,3.6936677,5.5759454,8.255975,11.724034
2023-10-02 07:30:00,6.413745,9.474243,13.410356,17.589859
