units1,units2,input_dim,mae
12,12,24,3.1283885813035646
12,12,48,3.1594898173312496
12,12,96,3.1130976308986256
12,12,144,3.161858986028639
12,12,192,3.0779645719557216
12,12,288,3.068197648171856
12,12,672,3.1250721249141122
24,24,24,3.046271464534294
24,24,48,3.0495608066007587
24,24,96,3.1456593408111364
24,24,144,3.075111669176513
24,24,192,3.081861461735125
24,24,288,3.0477305398348458
24,24,672,3.082529689664538
48,48,24,3.1028210957010085
48,48,48,3.011380937421198
48,48,96,3.017647350176201
48,48,144,3.004286824652444
48,48,192,3.082317351487139
48,48,288,3.058817546648671
48,48,672,3.0734090209788354
96,96,24,3.059100173909512
96,96,48,3.046909402399096
96,96,96,2.9942902470877755
96,96,144,3.019456140894564
96,96,192,3.007746197428581
96,96,288,3.0476133420731792
96,96,672,3.11590378048196
128,128,24,3.0816725710389763
128,128,48,3.061882136070555
128,128,96,3.094782382150262
128,128,144,3.165342127677902
128,128,192,2.9947591605868413
128,128,288,3.0182024641849226
128,128,672,3.1347595916205364
256,256,24,3.127543178836423
256,256,48,3.199088818728378
256,256,96,3.109813182725499
256,256,144,3.01611513921966
